
# Most time was spent solving cryptharithm by converting strings to number according to mapping

3547035 function calls (3546933 primitive calls) in 4.694 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
        3    0.000    0.000    0.001    0.000 gettext.py:542(find)
        3    0.000    0.000    0.001    0.000 gettext.py:583(translation)
        3    0.000    0.000    0.001    0.000 gettext.py:664(dgettext)
        3    0.000    0.000    0.001    0.000 gettext.py:741(gettext)
        3    0.000    0.000    0.000    0.000 locale.py:362(_replace_encoding)
        6    0.000    0.000    0.000    0.000 locale.py:396(normalize)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       20    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       20    0.000    0.000    0.000    0.000 os.py:754(encode)
        3    0.000    0.000    0.000    0.000 os.py:758(decode)
        1    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
       13    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       12    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    4.694    4.694 profile:0(<code object <module> at 0x7fa9f0d25b00, file "cryptarithm.py", line 1>)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    0.001    0.001 re.py:187(match)
       11    0.000    0.000    0.001    0.000 re.py:249(compile)
       12    0.000    0.000    0.002    0.000 re.py:288(_compile)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        4    0.000    0.000    0.000    0.000 shutil.py:1334(get_terminal_size)
        1    0.000    0.000    0.000    0.000 shutil.py:59(Error)
        1    0.000    0.000    0.000    0.000 shutil.py:62(SameFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:65(SpecialFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:69(ExecError)
        1    0.000    0.000    0.000    0.000 shutil.py:72(ReadError)
